Date,Sales
2023-01-01,214
2023-01-02,435
2023-01-03,456
2023-01-04,227
2023-01-05,381
2023-01-06,369
2023-01-07,405
2023-01-08,431
2023-01-09,431
2023-01-10,433
2023-01-11,364
2023-01-12,498
2023-01-13,470
2023-01-14,229
2023-01-15,279
2023-01-16,317
2023-01-17,363
2023-01-18,455
2023-01-19,364
2023-01-20,409
2023-01-21,314
2023-01-22,395
2023-01-23,284
2023-01-24,224
2023-01-25,308
2023-01-26,480
2023-01-27,409
2023-01-28,320
2023-01-29,404
2023-01-30,440
2023-01-31,319
2023-02-01,465
2023-02-02,377
2023-02-03,401
2023-02-04,273
2023-02-05,200
2023-02-06,231
2023-02-07,236
2023-02-08,419
2023-02-09,237
2023-02-10,470
2023-02-11,214
2023-02-12,222
2023-02-13,494
2023-02-14,212
2023-02-15,218
2023-02-16,332
2023-02-17,268
2023-02-18,414
2023-02-19,389
2023-02-20,206
2023-02-21,249
2023-02-22,284
2023-02-23,492
2023-02-24,327
2023-02-25,331
2023-02-26,240
2023-02-27,211
2023-02-28,488
2023-03-01,202
2023-03-02,279
2023-03-03,350
2023-03-04,492
2023-03-05,247
2023-03-06,462
2023-03-07,356
2023-03-08,215
2023-03-09,410
2023-03-10,316
2023-03-11,278
2023-03-12,216
2023-03-13,300
2023-03-14,295
2023-03-15,403
2023-03-16,228
2023-03-17,307
2023-03-18,463
2023-03-19,235
2023-03-20,239
2023-03-21,335
2023-03-22,498
2023-03-23,264
2023-03-24,277
2023-03-25,232
2023-03-26,201
2023-03-27,304
2023-03-28,435
2023-03-29,375
2023-03-30,475
2023-03-31,397
2023-04-01,240
2023-04-02,465
2023-04-03,281
2023-04-04,451
2023-04-05,344
2023-04-06,207
2023-04-07,265
2023-04-08,371
2023-04-09,287
2023-04-10,202
2023-04-11,477
2023-04-12,421
2023-04-13,246
2023-04-14,386
2023-04-15,301
2023-04-16,235
2023-04-17,388
2023-04-18,468
2023-04-19,362
2023-04-20,297
2023-04-21,429
2023-04-22,301
2023-04-23,266
2023-04-24,233
2023-04-25,417
2023-04-26,367
2023-04-27,345
2023-04-28,478
2023-04-29,410
2023-04-30,400
